IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ABAXUY,1,ok,0.0631,84,1,,[Os+4]1([H])(<-P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(<-P(C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(<-N#CC([H])([H])[H])N([H])c2c([H])c([H])c([H])c([H])c2N1[H]
ABELOK,0,ok,0.2928,49,1,,[Au+](Cl)<-[c-]1[s+]c(-c2c([H])c([H])c([H])c([H])c2[H])n(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1-c1c([H])c([H])c([H])c([H])c1[H]
ABIGIC,0,ok,0.6447,79,1,,[Zr+4]123456789(Cl)(Cl)<-C%10(=C->1([H])C2([H])C->3([H])=C->4%10[H])[Si](C([H])([H])[H])(C([H])([H])[H])C->51=C->6([H])C7(C([H])([H])C([H])([H])C([H])([H])[B-](n2c([H])[n+](C([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C->8([H])=C->91[H]
ABOMAI,1,ok,0.0742,45,1,,[Ni+2]12(Cl)(<-n3c(-c4n->1c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c3[H])<-n1c(-c3n->2c([H])c([H])c([H])c3[H])c([H])c([H])c([H])c1[H].O([H])[H]
ACAFUI,1,ok,0.0590,59,1,,[Zn+2]123(<-n4c(C(C([H])([H])[H])=N->1N(C(c1c([H])c([H])c([H])c([H])c1[H])=O->2)[H])c([H])c([H])c([H])c4C(C([H])([H])[H])=NN(C(c1c([H])c([H])c([H])c([H])c1[H])=O)[H])(<-O([H])[H])O[N+](=O)O3
ACETUX,0,ok,0.0377,41,1,,[Zn+2](Cl)(<-O=C(O[H])C(N([H])[H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])(Cl)<-O=C(O[H])C(N([H])[H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
ACIVOA,0,ok,0.1114,77,1,,[Pd+2](Cl)(Cl)(<-n1n([H])c([H])c([H])c1[H])<-C1N(c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])N1c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H]
ACOSOD,0,ok,0.0583,35,1,,[Pd+2]1(Cl)<-n2c(C(O[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2-c2c(C([H])([H])[H])c([H])c([H])c([H])c21
ACUCAF,0,ok,0.0721,28,1,,c1([H])n2->[Hg+2](Br)(Br)<-n3c4nc([H])c([H])c([H])c4c([H])c([H])c3-c2c([H])c([H])c1[H]
ACUGUB,0,ok,0.0700,52,1,,c1([H])c([H])c([H])c([H])c2-c3n4->[Y+3]567(<-n12)(<-n1c(-c4nc(-c2c([H])c([H])c([H])c([H])n2)n3)c([H])c([H])c([H])c1[H])(<-O([H])[H])(O[N+](=O)O5)(O[N+](=O)O6)O[N+](=O)O7
