IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
ABATEC,0,ok,0.0900,69,1,,[Ru+2]1234(<-n5n([B-](n6nc(C(F)(F)F)c([H])c6C(F)(F)F)([H]->1)[H])c(C(F)(F)F)c([H])c5C(F)(F)F)(<-N(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])(<-C1([H])=C->2([H])C([H])([H])C([H])([H])C->3([H])=C->4([H])C([H])([H])C1([H])[H])[H]
ABEFOF,0,ok,0.0442,46,1,,N1([Ag+](<-n2c(C([H])([H])[H])c([H])c([H])c([H])c2[H])<-n2c(C([H])([H])[H])c([H])c([H])c([H])c2[H])S(=O)(=O)c2c(c([H])c([H])c([H])c2[H])S1(=O)=O
ABETOQ,0,ok,1.7820,78,1,,[Zr+4]123456789%10(<-C%11(=C->1([H])C2(C([H])([H])[H])C->3([H])=C->4%11[H])[Si](C([H])([H])[H])(C([H])([H])[H])C->51=C->6([H])C7(C([H])([H])[H])C->8([H])=C->91[H])C([H])([H])C([H])=C([H])C([H])([H])[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(c(F)c(F)c(F)c1F)[F+]%10
ABOBEA,1,ok,0.0575,49,1,,[Co+3]123(N4C([H])=C([H])C([H])=C([H])C4=C(N->1=O)[H])(<-n1c([H])c([H])c([H])c([H])c1-c1n->2c([H])c([H])c([H])c1[H])N1C([H])=C([H])C([H])=C([H])C1=C(N->3=O)[H]
ABUTIB,0,ok,0.0999,54,1,,[Zr+4]123456(<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C7([H])C->1([H])=C->2([H])C->3([H])=C->4([H])C7(C([H])([H])[H])C([H])([H])[H])C1([H])C([H])=C([H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])C51[H])C6=O
ACEFET,0,ok,0.1441,47,1,,[Re+]1234(<-C5(c6c(F)c(F)c(F)c(F)c6F)=C->1([H])C->2(c1c(F)c(F)c(F)c(F)c1F)=C->3([H])C45c1c(F)c(F)c(F)c(F)c1F)(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ACITAH,0,ok,0.1318,61,1,,[Ni+2]123(Br)(<-n4c5c([H])c([H])c([H])c4C([H])([H])N->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])c1n->2c(c([H])c([H])c1[H])C([H])([H])N->3(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C5([H])[H])Br
ACONEO,0,ok,0.0509,51,1,,[Hg+2](Br)(<-n1c([H])c([H])c(C(=C(O[H])C([H])([H])[H])C(=O)C([H])([H])[H])c([H])c1[H])(Br)<-n1c([H])c([H])c(C(=C(O[H])C([H])([H])[H])C(=O)C([H])([H])[H])c([H])c1[H]
ACOXUN,0,ok,0.2010,45,1,,[Ir+5]12345(Cl)(<-C6(C([H])([H])[H])=C->1(C([H])([H])[H])C2(C([H])([H])[H])C->3(C([H])([H])[H])=C->46C([H])([H])[H])Oc1c([H])c([O-])c2c(c([H])c([H])c([H])c2[H])c1O5
ACUGEN,0,ok,0.0378,32,1,,[Hg+2]1(SC#N)(SC#N)<-n2c([H])c([H])c([H])c([H])c2-c2n->1c1nc([H])c([H])c([H])c1c([H])c2[H]
ACUSAS,0,ok,0.0658,48,1,,[Pd+4]1(Cl)(Cl)=P(N([H])C([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])S->1C([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
ACUYUV,0,ok,0.0451,45,1,,[V+5]12(<-N(=C([H])c3c(c([N+](=O)[O-])c([H])c([N+]([O-])=O)c3[H])O1)N=C(c1c(F)c(F)c(F)c(F)c1F)O2)(=O)(<-O(C([H])([H])[H])[H])OC([H])([H])[H]
ADESIL,0,ok,0.0517,40,1,,[Ta+5]12(Cl)(Cl)(Cl)(<-P(Cl)(Cl)(N1[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=N->2[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N=P(Cl)(Cl)Cl
ADIFOJ,0,ok,0.5056,52,1,,[Ti+4]123456789%10(<-N(=C1c1c%11c2c([H])c([H])c([H])c%11c([H])c([H])c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-C1([H])=C->3([H])C4([H])C->5([H])=C->61[H])<-C1([H])=C->7([H])C->8([H])=C->9([H])C%101[H]
ADOCII,0,ok,0.0404,60,1,,[W](<-P([B-]([As+]([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[B-]([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ADUMET,0,ok,0.0761,71,1,,C([H])([H])([H])[Pt+4]1(C([H])([H])[H])(c2c([H])c([H])c([H])c(F)c2C([H])=N->1C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])Br.c1(P(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c([H])c1[H]
AFAJAT,0,ok,0.0599,61,1,,[Pd+4]12(OC(=O)C([H])([H])[H])N3C(C([H])([H])[H])=C(C([H])(C([H])([H])[H])C([H])([H])[H])SC3=Nc3n1c(c1c3c([H])c([H])c([H])c1[H])N=C1SC(C(C([H])([H])[H])([H])C([H])([H])[H])=C(C([H])([H])[H])N21
AFAVUB,0,ok,0.0545,55,1,,c12C([H])=N3N=C(C(c4c([H])c([H])c([H])c([H])c4[H])=NN4=C([H])c5c([H])c([H])c([H])c([H])n5->[Cd+2]<-3<-4(<-n1c([H])c([H])c([H])c2[H])(I)I)c1c([H])c([H])c([H])c([H])c1[H]
AFILEG,0,ok,0.3401,73,1,,[Ru+2]123456(<-P(C(C(OC(=O)C->17=C->2(C([H])([H])[H])C->3([H])=C->4(C([H])([H])[H])C57[H])([H])[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])Oc1c([H])c([H])c([H])c([H])c1C(=N->6c1c([H])c([H])c([H])c([H])c1[H])[H]
AFOMEO,0,ok,0.0582,50,1,,[Ni+2]123(<-n4c([H])c([H])c([H])c5c([H])c([H])c6c(n->1c([H])c([H])c6[H])c45)<-N(=C(C([H])([H])[H])C(=O)O2)N=C(c1c([H])c([H])c([H])c([H])c1O[H])O3.O([H])[H]
AFOZEA,0,ok,0.4421,68,1,,[Y+3]12345678(Cl)(<-O=C9N(C([H])([H])[H])C([H])([H])C([H])([H])C9([H])[H])(<-C9(C([H])([H])[H])=C->1(C([H])([H])[H])C->2(C([H])([H])[H])=C->3(C([H])([H])[H])C49C([H])([H])[H])C1(C([H])([H])[H])C->5(C([H])([H])[H])=C->6(C([H])([H])[H])C->7(C([H])([H])[H])=C->81C([H])([H])[H]
AFUSAY,1,ok,0.0615,74,1,,[Ag+]1234<-O5c6c(c([H])c([H])c([H])c6[H])C([H])([H])N->1(C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])N->2(C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])N->3(C([H])([H])C([H])([H])C#N)C([H])([H])c1c(c([H])c([H])c([H])c1[H])O->4C([H])([H])C5([H])[H]
AGAHUL,0,ok,0.0978,82,1,,[Ir+3]12(Br)(<-P(C(C(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(<-[C-]#[O+])C(C(OC(C([H])([H])[H])([H])[H])=O)=C([H])C([H])=C2C(OC(C([H])([H])[H])([H])[H])=O
AGECEU,0,ok,0.0720,28,1,,[Re+5](<-n1c(-c2nc([H])c([H])c([H])c2[H])sc2c1c([H])c([H])c([H])c2[H])(=O)(Cl)(Cl)Cl
AGIJEF,0,ok,0.2556,53,1,,[Zr+4]123456789(<-P(C([H])([H])[H])(C([H])([H])[H])C(C(P->1(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(<-C([H])(=C->2(C([H])([H])[H])C3([H])[H])C4(C([H])([H])[H])C5([H])[H])C1([H])C->6([H])=C->7([H])C->8([H])=C->91[H]
AGOGEJ,0,ok,0.0742,76,1,,[Pd+4](<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(Cl)(C(=O)c1c([H])c([H])c([H])c([H])c1[H])=C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
AGUKET,0,ok,0.0484,44,1,,C1([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C2=C([H])SC3=Nc4c5c([H])c([H])c([H])c([H])c5c5n4[Pd+4]1(N23)N1C(=N5)C([H])=C([H])C([H])=C1[H]
AHAPIJ,0,ok,0.0700,69,1,,c1([H])c([H])c([H])c2c3c4c(c([H])c2[H])c([H])c([H])c([H])n4->[Ni+2](<-n13)(<-n1c(C(=O)[O-])c(C(O[H])=O)n([H])c1C([H])([H])C([H])([H])C([H])([H])[H])OC(c1c(C(=O)O[H])n([H])c(C([H])([H])C([H])([H])C([H])([H])[H])n1)=O
AHETUE,1,ok,0.0459,43,1,,C1([H])=N2->[Mo+6](=O)(=O)(OC(c3c([H])c([H])[n+]([H])c([H])c3[H])=N2)Oc2c1c1c(c([H])c2[H])c([H])c([H])c([H])c1[H].C([H])([H])([H])O[H]
AHUCAI,1,ok,0.0531,50,1,,[Mn+]1234(<-N5(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])C([H])([H])N->3(C([H])([H])[H])C([H])([H])C5([H])[H])<-O=O->4
AJEBAS,0,ok,0.0320,34,1,,[Pt+4](Cl)(Cl)(=S(=O)(C([H])([H])[H])C([H])([H])[H])<-N1=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])N([H])C([H])([H])C1([H])[H]
AJIBIE,1,ok,0.0906,84,1,,[Ir+5]12([H])(C(=O)c3c(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])c([H])c([H])c([H])c3[H])(<-n1c([H])c([H])c([H])c([H])c1[H])<-P(c1c(C=2O[H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
AJOCIM,0,ok,0.0645,58,1,,[Cd+2]123(<-n4c([H])c([H])c([H])c5c([H])c([H])c6c(c45)N1C([H])(OC(=O)C([H])=C([H])C(=O)O2)C([H])=C6[H])(<-n1c([H])c([H])c([H])c2c([H])c([H])c4c([H])c([H])c([H])n->3c4c12)<-O([H])[H]
AJUYAH,0,ok,0.1224,61,1,,[Ir+3]123(<-O=C(O1)c1c([H])c([H])c([H])c([H])c1[H])(<-n1c4c([H])c([H])c([H])c([H])c4oc1-c1c([H])c(F)c([H])c(F)c12)<-n1c2c([H])c([H])c([H])c([H])c2oc1-c1c([H])c(F)c([H])c(F)c13
AKEROX,0,ok,0.0863,60,1,,[Re+5]1(Cl)(Cl)(=O)<-n2c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c(N1[H])c23.P(=O)(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
AKONEU,0,ok,0.1102,81,1,,[Cu+](<-C1N(c2c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])N1c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
AKUJEW,0,ok,0.4791,83,1,,[Y+3]123456789%10(<-N(=C->1(N2C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])(<-C1([H])=C->3([H])C->4([H])=C->5([H])C61[H])<-C1([H])=C->7([H])C->8([H])=C->9([H])C%101[H]
ALADUO,0,ok,0.1062,48,1,,[C-](#[O+])->[Re+3]1(<-[C-]#[O+])(<-[C-]#[O+])(<-n2c([H])n(C([H])([H])[H])c([H])c2[H])N2C(=O)c3c([H])c([H])c([H])c([H])c3C2=Nc2c3c([H])c([H])c([H])c([H])c3c([O-])n21
ALAWAM,1,ok,0.1002,52,1,,[Ru+4]1(Cl)(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-S(=O)(C([H])([H])[H])C([H])([H])[H])(<-O=S(C([H])([H])[H])C([H])([H])[H])N2C(=C3N1C([H])=C([H])C([H])=C3[H])C([H])=C([H])C([H])=C2[H]
ALEMUB,0,ok,0.0492,55,1,,C12([H])->[Ir+]345(<-C=1([H])C([H])([H])C([H])([H])C->3([H])=C->4([H])C([H])([H])C2([H])[H])<-n1c(C([H])([H])N(C(C([H])([H])O5)([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[H])c([H])c([H])c([H])c1[H]
ALILAI,0,ok,0.1457,58,1,,[Mo+6]123(=O)(<-N(=C([H])c4c([H])c([H])c([H])c([H])c4O1)N=C(N(N=C(c1c(O[H])c([H])c([H])c([H])c1[H])[H])[H])S2)N1c2c(c([H])c([H])c4c2N3C([H])=C([H])C=4[H])=C([H])C([H])=C1[H]
ALIPUI,0,ok,0.0499,61,1,,[Mn+]12(<-P(Oc3n->1c(OP->2(C(C([H])([H])[H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H])(<-N([O-])=O)(<-[C-]#[O+])<-[C-]#[O+]
ALOFAI,0,ok,0.1098,63,1,,[Mo+4]123(<-[C-]#[O+])(<-[C-]#[O+])(OC(=O)C([H])=C([H])C(N([H])c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])=O)(<-C([H])([H])=C->1(C2([H])[H])C([H])([H])[H])N1C([H])=C([H])C([H])=c2c([H])c([H])c4c(c21)N3C([H])=C([H])C=4[H]
ALUBAL,1,ok,0.0824,84,1,,c1(=[Ni+4](<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])(<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])Cl)c([H])c(Cl)n(C([H])([H])[H])c([H])c1[H]
AMENCO,1,ok,0.0294,31,1,,[Co+3]12(<-N([H])([H])[H])(<-N(=O)[O-])(<-N(=O)[O-])<-N(C(C(N->1(C(C(N->2([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H]
AMIHAG,0,ok,0.2918,26,1,,[Co+]12345(<-S=C(C(=S->1)[H])C(=O)OC(C([H])([H])[H])([H])[H])<-C1([H])=C->2([H])C3([H])C->4([H])=C->51[H]
AMODEL,0,ok,0.0453,34,1,,[Hg+2]1(Br)(Br)<-n2c(N(c3nc([H])c([H])c([H])c3[H])c3n->1c([H])c([H])c([H])c3[H])c([H])c([H])c([H])c2[H]
ANAXIX,0,ok,0.0716,70,1,,[Ni+2]12(<-P(Oc3c1c(OP->2(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])OC(=O)[H]
ANUZIU,0,ok,0.0537,49,1,,[Cr+2](<-[C-]#[O+])(=C(OC([H])([H])[H])C1([H])C(c2oc([H])c([H])c2[H])([H])C(OC([H])([H])[H])([H])C2=C([H])C([H])=C([H])C([H])=C([H])C21[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
APEYUR,0,ok,0.0788,76,1,,[Hg+2]12(Cl)(Cl)<-N3([H])C([H])(c4n->1c([H])c([H])c([H])c4[H])C1([H])C4([H])N([H])C([H])(C([H])(C1=O)C3([H])c1n->2c([H])c([H])c([H])c1[H])c1c(c([H])c([H])c([H])c1[H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])Oc1c4c([H])c([H])c([H])c1[H]
APIZIJ,0,ok,0.0368,38,1,,[Re+7](=O)(=O)(=O)C([H])([H])[H].O=C1C(=C(N([H])c2c([H])c([H])c([H])c([H])c2[H])[H])C([H])=C([H])C([H])=C1OC([H])([H])[H]
APUDIA,0,ok,0.1446,51,1,,[Zn+2]12(<-n3c(C(=NN1c1c([H])c([H])c([H])c([H])c1[H])[H])c([H])c([H])c([H])c3[H])<-n1c(C(=NN2c2c([H])c([H])c([H])c([H])c2[H])[H])c([H])c([H])c([H])c1[H]
APUTEM,0,ok,0.1140,53,1,,[Fe+4]12(<-n3c(-c4n1c(C([H])([H])[H])c(C([H])([H])[H])n4)c([H])c([H])c([H])c3[H])(n1c(-c3n->2c([H])c([H])c([H])c3[H])nc(C([H])([H])[H])c1C([H])([H])[H])(<-N#C[S-])<-N#C[S-]
AQATOD,0,ok,0.0779,69,1,,[Fe+2]12(<-P(N(c3n->1c(N(P->2(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])C([H])([H])[H])c([H])c([H])c3[H])C([H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])(OC(=O)[H])(<-[C-]#[O+])[H]
AQEFOT,0,ok,0.0305,30,1,,[Hg+2](Br)(Br)Br.n1c([H])c(C(N([H])c2[n+]([H])c([H])c([H])c([H])c2[H])([H])[H])c([H])c([H])c1[H]
AQIVEC,1,ok,0.0368,35,1,,[Pt+2]12(<-N#CC(=C(C(=C(C#N->1)[H])[H])[H])[H])<-n1c([H])c([H])c([H])c3c([H])c([H])c4c([H])c([H])c([H])c2c4c13
AQOMID,0,ok,0.0778,67,1,,[Hf+4]1234(N(C->1(N(C([H])([H])[H])C([H])([H])[H])=N->2C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(N(C([H])(C([H])([H])[H])C([H])([H])[H])C->3(N(C([H])([H])[H])C([H])([H])[H])=N->4C(C([H])([H])[H])([H])C([H])([H])[H])(Cl)Cl
AQUSUB,0,ok,0.0452,53,1,,[Ni+2]12(SC(=NN->1=C(c1oc([H])c([H])c1[H])C([H])([H])[H])N([H])C([H])([H])C([H])([H])[H])SC(=NN->2=C(c1oc([H])c([H])c1[H])C([H])([H])[H])N([H])C([H])([H])C([H])([H])[H]
ARELAL,0,ok,0.0782,66,1,,[Ni+2](Cl)(<-C1N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])N1C([H])(C([H])([H])[H])C([H])([H])[H])(<-C1N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])N1C([H])(C([H])([H])[H])C([H])([H])[H])c1nc(Cl)c([H])c([H])c1[H]
ARIGIT,0,ok,0.0509,74,1,,[Zr+4]1234(<-N(C([H])([H])C([H])([H])N1[Si](C([H])([H])[H])(C([H])([H])[H])C2([H])[H])(C([H])([H])C([H])([H])N3[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])N4[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-O1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
AROGEU,1,ok,0.0213,28,1,,[Re+7](=O)(=O)=O.N1(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1([H])[H]
ARONEA,0,ok,0.0925,53,1,,[Ti+4]123(<-C4(=c->15sc(C([H])([H])[H])c([H])c5=C1C([H])=C([H])C([H])=C([H])C214)[Si](C([H])([H])[H])(C([H])([H])[H])N3C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
ASALIR,1,ok,0.0698,59,1,,c1([H])c([H])c([H])c([H])c2C(N(c3c([H])c([H])c(N4C(=O)C([H])=C([H])C4=O)c([H])c3[H])[H])=S->[Ru+2]34567(<-c8([H])c->3(C([H])(C([H])([H])[H])C([H])([H])[H])c->4([H])c->5([H])c->6(C([H])([H])[H])c->78[H])(<-n12)Br
ASAPUF,1,ok,0.0570,61,1,,[Cu+]1234<-N(C(C(c5n->1c([H])c([H])c([H])c5[H])([H])[H])([H])[H])(C(C(c1n->2c([H])c([H])c([H])c1[H])([H])[H])([H])[H])C(C(c->31c->4([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])[H])([H])[H]
ASIHOA,0,ok,0.1159,68,1,,[Ir+3]123(OC(=O->1)c1c([H])c([H])c([H])c([H])c1[H])(<-n1c(-c4c2c([H])c([H])c([H])c4[H])c([H])c([H])c([H])c1[H])<-C1N(c2c3c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c32)N1C([H])([H])[H]
