IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABARAX,CO[P@@]1(=O)[O-]->[Y+3]2345<-[O-][P@@](=O)(OC)/C(C)=N->2/CCN2CCN(CC/N->3=C/1C)CCN(CC/N->4=C(\C)[P@](=O)(OC)[O-]->5)CC2,C21 H42 N6 O9 P3 Y1,0.0,COP1(=O)[O-]->[Y+3]2345678<-[O-]P(=O)(OC)C(C)=N->2CCN->32CCN->4(CCN->5=C1C)CCN->6(CCN->7=C(C)P(=O)(OC)[O-]->8)CC2,,
ABAZIP,,C37 H26 F4 Ir1 N3 O1,0.0,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
ABERIK,Cc1cc(C)c(-c2ccc/c3=N(\c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1,C25 H32 Cl3 N3 Ti1,0.0,Cc1cc(C)c(-c2cccc3[N-](c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-n23)<-N(C)C)c(C)c1,Cc1cc(C)c(-c2cccc3=N(c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1,Cc1cc(C)c(-c2cccc3=N(c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1
ABIQOR,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3,C27 H50 Cl2 N4 Ti1,0.0,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3
ABOXOH,,C27 H34 B1 Cl1 N6 O1 Se1 W1,0.0,Cc1cc(C)[n-]2->[W+2]34(<-[Cl-])(<-[C-]#[O+])(<-C([Se]C(C)C)#C->3c3ccccc3)<-[n-]3c(C)cc(C)[n+]3[BH-]([n+]12)[n+]1c(C)cc(C)[n-]->41,Cc1cc(C)n2->[W+2]34(<-[Cl-])(<-[C-]#[O+])(<-C([Se]C(C)C)#C->3c3ccccc3)<-n3c(C)cc(C)n3[BH-](n12)n1c(C)cc(C)n->41,Cc1cc(C)n2->[W+2]34(<-[Cl-])(<-[C-]#[O+])(<-C([Se]C(C)C)#C->3c3ccccc3)<-n3c(C)cc(C)n3[BH-](n12)n1c(C)cc(C)n->41
ACAZFE,CC(=O)C1=CNC2->[Fe]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C1=C->3C->4=2,C11 H9 Fe1 N1 O4,0.0,CC(=O)C1=CNC2->[Fe]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C1=C->3C->4=2,CC(=O)C1=CNC2->[Fe]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C1=C->3C->4=2,CC(=O)c1c[nH][cH-]2->[Fe+2]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c2c->3[cH-]->41
ACILAZ,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]c3ccccc3/C=N->1/[C@@H]1O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]1[O-]->2,C16 H21 Mo1 N1 O9,0.0,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]c3ccccc3C=N->1C1OC3COC(C)OC3C(O)C1[O-]->2,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]c3ccccc3C=N->1C1OC3COC(C)OC3C(O)C1[O-]->2,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]c3ccccc3C=N->1C1OC3COC(C)OC3C(O)C1[O-]->2
ACOBEA,CCOC(=O)[N-]1[N-](C(=O)OCC)->[Pd@SP2+2]<-12<-n1c(C)cc(-c3ccccc3)c3ccc4c(-c5ccccc5)cc(C)n->2c4c31,C32 H30 N4 O4 Pd1,0.0,CCOC(=O)[N-]1[N-](C(=O)OCC)->[Pd+2]<-12<-n1c(C)cc(-c3ccccc3)c3ccc4c(-c5ccccc5)cc(C)n->2c4c31,CCOC(=O)[N-]1[N-](C(=O)OCC)->[Pd+2]<-12<-n1c(C)cc(-c3ccccc3)c3ccc4c(-c5ccccc5)cc(C)n->2c4c31,CCOC(=O)[N-]1[N-]2C(=O)(OCC)->[Pd+2]<-1<-23<-n1c(C)cc(-c2ccccc2)c2ccc4c(-c5ccccc5)cc(C)n->3c4c21
ACOWUM,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-[As](c1ccccc1)(c1ccccc1)c1ccccc1)<-[As](c1ccccc1)(c1ccccc1)c1ccccc1,C36 H30 As2 N2 O4 Pd1,0.0,O=[N+](=O)->[Pd-2](<-[N+](=O)=O)(<-[As](c1ccccc1)(c1ccccc1)c1ccccc1)<-[As](c1ccccc1)(c1ccccc1)c1ccccc1,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-[As](c1ccccc1)(c1ccccc1)c1ccccc1)<-[As](c1ccccc1)(c1ccccc1)c1ccccc1,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-[As](c1ccccc1)(c1ccccc1)c1ccccc1)<-[As](c1ccccc1)(c1ccccc1)c1ccccc1
ACUFOW,[I-]->[Hg+2](<-[I-])<-n1c(-c2ccccn2)ccc2cccnc21,C13 H9 Hg1 I2 N3,0.0,[I-]->[Hg+2]1(<-[I-])<-n2ccccc2-c2ccc3cccnc3n->12,[I-]->[Hg+2]1(<-[I-])<-n2ccccc2-c2ccc3cccnc3n->12,[I-]->[Hg+2](<-[I-])<-n1c(-c2ccccn2)ccc2cccnc21
