IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABAKAS,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,C11 H12 I2 N4 Pt1,0.0,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
ABAZAH,,C37 H26 F4 Ir1 N3 O1,0.0,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
ABENRE,,C2 H6 Br4 N1 O2 Re1 1-,-1.0,CCO->[Re+4](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O,CC[O-]->[Re+5](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O,CC[O-]->[Re+5](<-[Br-])(<-[Br-])(<-[Br-])(<-[Br-])<-[N-]=O
ABIKUS,,C6 H14 Cl2 Mo1 O2 S2,0.0,CCS1CCS(CC)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-],CCS1CCS(CC)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-],CCS1CCS(CC)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-]
ABOXIB,,C18 H22 B1 I1 N6 O3 W1,0.0,Cc1cc(C)[n-]2->[W+2]3(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[n-]4c(C)cc(C)[n+]4[BH-]([n+]12)[n+]1c(C)cc(C)[n-]->31,Cc1cc(C)n2->[W+2]3(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n4c(C)cc(C)n4[BH-](n12)n1c(C)cc(C)n->31,Cc1cc(C)n2->[W+4]34(<-[I-])(<-[C-]#[O+])(<-[C-](=O)[C-]->3=O)<-n3c(C)cc(C)n3[BH-](n12)n1c(C)cc(C)n->41
ACASOO,Nc1c2c3c(c4n5->[Ni@SP2+2]67<-n8c(c(-c9ccccc9)c9ccc(c(-c%10ccccc%10)c5C=C4)[n-]->69)C=Cc8c(-c4ccccc4)c1[n-]->73)-c1ccccc1C2=O,C45 H27 N5 Ni1 O1,0.0,Nc1c2c3c(c4n5->[Ni+2]67<-n8c(c(-c9ccccc9)c9ccc(c(-c%10ccccc%10)c5C=C4)[n-]->69)C=Cc8c(-c4ccccc4)c1[n-]->73)-c1ccccc1C2=O,NC1=C2C(=O)c3ccccc3-c3c2n2->[Ni+2]45<-n6c(c(-c7ccccc7)c7ccc(c(-c8ccccc8)c21)[n-]->47)C=Cc6c(-c1ccccc1)c1ccc3[n-]->51,NC1=C2C(=O)c3ccccc3-c3c2n2->[Ni+2]45<-n6c(c(-c7ccccc7)c7ccc(c(-c8ccccc8)c21)[n-]->47)C=Cc6c(-c1ccccc1)c1ccc3[n-]->51
ACIFOJ,c1ccc2c(c1)CS/C1[S-]->[Au+3]3(<-[S-]/C=1SC2)<-[S-]/C1=C(/[S-]->3)SCc2ccccc2CS1,C20 H16 Au1 S8 1-,-1.0,c1ccc2c(c1)CSC1[S-]->[Au+3]3(<-[S-]C=1SC2)<-[S-]C1=C([S-]->3)SCc2ccccc2CS1,c1ccc2c(c1)CSC1=S->[Au-]3(<-S=C1SC2)<-S=C1SCc2ccccc2CSC1=S->3,c1ccc2c(c1)CSC1=S->[Au-]3(<-S=C1SC2)<-S=C1SCc2ccccc2CSC1=S->3
ACNCFE,[O+]#[C-]->[Fe]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C2=C->1c1cccc3cccc2c13,C16 H8 Fe1 O4,0.0,[O+]#[C-]->[Fe]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C2=C->1c1cccc3cccc2c13,[O+]#[C-]->[Fe]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C2=C->1c1cccc3cccc2c13,[O+]#[C-]->[Fe]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C2=C->1c1cccc3cccc2c13
ACOWIA,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C36 H30 N2 O4 P2 Pd1,0.0,O=[N+](=O)->[Pd-2](<-[N+](=O)=O)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,O=N([O-])->[Pd+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
ACUDUA,,C20 H22 N12 Zn1,0.0,Cc1[nH]c2-c3ccccn3->[Zn+2]3(<-[N-]=[N+]=[N-])(<-[N-]=[N+]=[N-])(<-n4ccccc4-c4[nH]c(C)c(C)n->34)<-n2c1C,CC1=NC2=C3C=CC=C[N-]3->[Zn+4]3(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-N2=C1C)<-n1ccccc1-c1nc(C)c(C)[n-]->31,CC1=NC2=C3C=CC=C[N-]3->[Zn+2]3(<-N2=C1C)<-n1ccccc1-c1nc(C)c(C)[n-]->31.N#[N+]N=NN=[N-]
