IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABATEC,,C22 H28 B1 F12 N5 Ru1,0.0,fail,CC(C)(C)N->[RuH+]123(<-C4=C->1CCC->2=C->3CC4)<-n1c(C(F)(F)F)cc(C(F)(F)F)n1[BH2-]n1nc(C(F)(F)F)cc1C(F)(F)F,CC(C)(C)N->[RuH+]123(<-C4=C->1CCC->2=C->3CC4)<-n1c(C(F)(F)F)cc(C(F)(F)F)n1[BH2-]n1nc(C(F)(F)F)cc1C(F)(F)F
ABEFOF,Cc1ccccn1->[Ag+](<-n1ccccc1C)<-[N-]1S(=O)(=O)c2ccccc2S1(=O)=O,C18 H18 Ag1 N3 O4 S2,0.0,Cc1ccccn1->[Ag+](<-n1ccccc1C)<-[N-]1S(=O)(=O)c2ccccc2S1(=O)=O,Cc1ccccn1->[Ag+](<-n1ccccc1C)<-[N-]1S(=O)(=O)c2ccccc2S1(=O)=O,Cc1ccccn1->[Ag+3]12(<-[O-]S34(=O)c5ccccc5S3(=O)([O-]->1)[N-]->24)<-n1ccccc1C
ABETOQ,Cc12->[Zr+4]3456789%10%11%12%13(<-[CH2-]/C->3=C->4/C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F->5)<-c1c->6[c-]->7([Si](C)(C)[c-]->81c->9c->%10c->%11(C)c->%121)c->%132,C36 H24 B1 F15 Si1 Zr1,0.0,fail,Cc12->[Zr+4]3456789%10%11%12(<-[CH2-]C->3=C->4C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)<-c1c->5[c-]->6([Si](C)(C)[c-]->71c->8c->9c->%10(C)c->%111)c->%122,Cc12->[Zr+6]3456789%10(<-[F-])(<-[CH2-]C=CC[B-](c%11[c-]c(F)c(F)c(F)c%11F)(c%11c(F)c(F)c(F)c(F)c%11F)c%11c(F)c(F)c(F)c(F)c%11F)<-c1c->3[c-]->4([Si](C)(C)[c-]->51c->6c->7c->8(C)c->91)c->%102
ABOBEA,O=N1/C=C2/C=CC=C[N-]2->[Co+3]<-123(<-N(=O)/C=C1/C=CC=C[N-]->21)<-n1ccccc1-c1ccccn->31,C22 H18 Co1 N6 O2 1+,1.0,[O]N1=Cc2ccccn2->[Co+]<-123(<-N([O])=Cc1ccccn->21)<-n1ccccc1-c1ccccn->31,O=N1C=C2C=CC=C[N-]2->[Co+3]<-123(<-N(=O)C=C1C=CC=C[N-]->21)<-n1ccccc1-c1ccccn->31,O=N1C=C2C=CC=C[N-]2->[Co+3]<-123(<-N(=O)C=C1C=CC=C[N-]->21)<-n1ccccc1-c1ccccn->31
ABUTIB,,C20 H31 O1 P1 Zr1,0.0,fail,CC1(C)C2->[Zr+2]3456789(<-[C-]#[O+])(<-C(=C->3[CH-]->41)C->5=2)(<-C1=C->6[CH-]->7C(C)(C)C->8=C->91)<-P(C)(C)C,CC1(C)C2[C-](=O)->[Zr+2]34567(<-C(=C->31)C=C2)(<-C1=C->4[CH-]->5C(C)(C)C->6=C->71)<-P(C)(C)C
ACEFET,,C26 H2 F15 O3 Re1,0.0,[O+]#[C-]->[Re+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)[cH-]->2c->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F,[O+]#[C-]->[Re+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F,[O+]#[C-]->[Re+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F
ACITAH,CC(C)(C)N1Cc2cccc3n2->[Ni@OH17+2](<-[Br-])(<-[Br-])<-n2c(cccc2CN(C(C)(C)C)C3)C1,C22 H32 Br2 N4 Ni1,0.0,CC(C)(C)N12->[Ni+2]34(<-[Br-])(<-[Br-])<-n5c(cccc5CN->3(C(C)(C)C)Cc3cccc(n->43)C1)C2,CC(C)(C)N12->[Ni+2]34(<-[Br-])(<-[Br-])<-n5c(cccc5CN->3(C(C)(C)C)Cc3cccc(n->43)C1)C2,CC(C)(C)N1Cc2cccc3n2->[Ni+2](<-[Br-])(<-[Br-])<-n2c(cccc2CN(C(C)(C)C)C3)C1
ACONEO,,C20 H22 Br2 Hg1 N2 O4,0.0,CC(=O)C(=C(C)O)c1ccn(->[Hg+2](<-[Br-])(<-[Br-])<-n2ccc(C(C(C)=O)=C(C)O)cc2)cc1,CC(=O)C(=C(C)O)c1ccn(->[Hg+2](<-[Br-])(<-[Br-])<-n2ccc(C(C(C)=O)=C(C)O)cc2)cc1,CC(=O)C(=C(C)O)c1ccncc1.CC(=O)C(=C(C)O)c1ccncc1.[Br-]->[Hg+2]<-[Br-]
ACOXUN,,C20 H20 Cl1 Ir1 O3,0.0,Cc12->[Ir+3]3456(<-[Cl-])(<-O=C7C([O-]->3)=CC(=O)c3ccccc37)<-c1(C)c->4(C)[c-]->5(C)c->62C,Cc12->[Ir+5]3456(<-[Cl-])(<-[O-]c7cc([O-])c8ccccc8c7[O-]->3)<-c1(C)c->4(C)[c-]->5(C)c->62C,Cc12->[Ir+5]3456(<-[Cl-])(<-[O-]c7cc([O-])c8ccccc8c7[O-]->3)<-c1(C)c->4(C)[c-]->5(C)c->62C
ACUGEN,N#C[S-]->[Hg+2](<-[S-]C#N)<-n1c(-c2ccccn2)ccc2cccnc21,C15 H9 Hg1 N5 S2,0.0,N#C[S-]->[Hg+2]1(<-[S-]C#N)<-n2ccccc2-c2ccc3cccnc3n->12,N#C[S-]->[Hg+2]1(<-[S-]C#N)<-n2ccccc2-c2ccc3cccnc3n->12,N#C[S-]->[Hg+2](<-[S-]C#N)<-n1c(-c2ccccn2)ccc2cccnc21
ACUSAS,COC(=O)[C@@H]1CCS(C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(N1)(c1ccccc1)c1ccccc1,C18 H22 Cl2 N1 O2 P1 Pd1 S1,0.0,COC(=O)C1CCS(C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(N1)(c1ccccc1)c1ccccc1,COC(=O)C1CCS(C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(N1)(c1ccccc1)c1ccccc1,COC(=O)C1CCS(C)->[Pd+2](<-[Cl-])(<-[Cl-])<-P(N1)(c1ccccc1)c1ccccc1
