IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABARUT,,C13 H21 Cd1 N9 O2,0.0,CC1c2ccccn2->[Cd+2]2(<-O)(<-[N-]=[N+]=[N-])(<-[N-]=[N+]=[N-])<-N=1CCN->21CCOCC1,CC1c2ccccn2->[Cd+2]2(<-O)(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N=1CCN->21CCOCC1,CC1=N2->[Cd+2](<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-n3ccccc31)<-N1(CCOCC1)CC2.O
ABAZOU,,C14 H19 I2 Ir1 N2,0.0,CC(C)C1Cc23->[Ir+3]456(<-[I-])(<-[I-])(<-[C]7N(C)C=CN71)<-c(c->4[cH-]->52)c->63,CC(C)C1C[c-]23->[Ir+3]456(<-[I-])(<-[I-])(<-[c-]7n1cc[n+]7C)<-c(c->4c->52)c->63,CC(C)C1C[c-]23->[Ir+3]456(<-[I-])(<-[I-])(<-[c-]7n1cc[n+]7C)<-c(c->4c->52)c->63
ABETIK,,C34 H20 B1 F15 Si1 Zr1,0.0,fail,C[Si]1(C)c23->[Zr+4]456789%10%11%12(<-[CH2-]C->4=C->5C[B-](c4c(F)c(F)c(F)c(F)c4F)(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)(<-c(c->6[cH-]->72)c->83)<-c2c->9c->%10[c-]->%111c->%122,C[Si]1(C)c23->[Zr+6]456789%10(<-[F-])(<-[CH2-]C=CC[B-](c%11[c-]c(F)c(F)c(F)c%11F)(c%11c(F)c(F)c(F)c(F)c%11F)c%11c(F)c(F)c(F)c(F)c%11F)(<-c(c->4[cH-]->52)c->63)<-c2c->7c->8[c-]->91c->%102
ABIQUX,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3,C24 H38 N4 Ti1,0.0,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3
ABUDOS,CC#N->[Cu@SP2+]1<-n2ccccc2-c2c(C(F)(F)F)cc(C(F)(F)F)[n-]->12,C13 H8 Cu1 F6 N3,0.0,CC#N->[Cu+]1<-n2ccccc2-c2c(C(F)(F)F)cc(C(F)(F)F)[n-]->12,CC#N->[Cu+]1<-N2=C(C(F)(F)F)C=C(C(F)(F)F)C2=C2C=CC=C[N-]->12,CC#N->[Cu+]1<-N2=C(C(F)(F)F)C=C(C(F)(F)F)C2=C2C=CC=C[N-]->12
ACEDUH,[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F,C26 H2 F15 Mn1 O3,0.0,[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)[cH-]->2c->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F,[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F,[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1(-c1c(F)c(F)c(F)c(F)c1F)c->2[c-]->3(-c1c(F)c(F)c(F)c(F)c1F)c->45-c1c(F)c(F)c(F)c(F)c1F
ACILIH,C[C@@H]1OC[C@H]2O[C@H]3/N4=C/c5ccccc5[O-]->[V+5]<-4(<-[O-2])(<-[O-2])<-[O-][C@@H]3[C@@H](O)[C@@H]2O1,C15 H17 N1 O8 V1 1-,-1.0,CC1OCC2OC3N4=Cc5ccccc5[O-]->[V+5]<-4(<-[O-2])(<-[O-2])<-[O-]C3C(O)C2O1,CC1OCC2OC3N4=Cc5ccccc5[O-]->[V+5]<-4(<-[O-2])(<-[O-2])<-[O-]C3C(O)C2O1,CC1OCC2OC3N=Cc4ccccc4[O-]->[V+5](<-[O-2])(<-[O-2])<-[O-]C3C(O)C2O1
ACOJUX,c1cnn([BH-]2n3cccn3->[Ti+4]345(<-[S-][S-]->3)(<-n3cccn32)<-n2cccn2[BH-](n2cccn->42)n2cccn->52)c1,C18 H20 B2 N12 S2 Ti1,0.0,fail,c1cnn([BH-]2n3cccn3->[Ti+2]345(<-S=S->3)(<-n3cccn32)<-n2cccn2[BH-](n2cccn->42)n2cccn->52)c1,c1cnn([BH-]2n3cccn3->[Ti+2]345(<-S=S->3)(<-n3cccn32)<-n2cccn2[BH-](n2cccn->42)n2cccn->52)c1
ACOXEX,O=N([O-])->[Pt+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C36 H30 N2 O4 P2 Pt1,0.0,O=[N+](=O)->[Pt-2](<-[N+](=O)=O)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,O=N([O-])->[Pt+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,O=N([O-])->[Pt+2](<-N(=O)[O-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
ACUGAJ,,C15 H9 Hg1 N5,0.0,N#[C-]->[Hg+2]1(<-[C-]#N)<-n2ccccc2-c2ccc3cccnc3n->12,N#[C-]->[Hg+2](<-[C-]#N)<-n1c(-c2ccccn2)ccc2cccnc21,N#[C-]->[Hg+2](<-[C-]#N)<-n1c(-c2ccccn2)ccc2cccnc21
ACURUM,CC[C@@H](C(=O)[O-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccc(C)cc2-c2cc(C)ccn->12)c1ccccc1,C25 H23 N2 O5 Re1,0.0,CCC(C(=O)[O-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccc(C)cc2-c2cc(C)ccn->12)c1ccccc1,CCC(C(=O)[O-]->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccc(C)cc2-c2cc(C)ccn->12)c1ccccc1,CCC(C1O[C-](=O)->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-O=1)<-n1ccc(C)cc1-c1cc(C)ccn->21)c1ccccc1
