IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABAYUA,,C37 H26 F4 Ir1 N3 O1,0.0,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
ABENIH,,C28 H30 Ag1 F2 N3 O4 S2,0.0,Cc1cc(C)n(->[Ag+](<-n2c(C)cc(C)cc2C)<-[N-](S(=O)(=O)c2ccc(F)cc2)S(=O)(=O)c2ccc(F)cc2)c(C)c1,Cc1cc(C)n(->[Ag+](<-n2c(C)cc(C)cc2C)<-[N-](S(=O)(=O)c2ccc(F)cc2)S(=O)(=O)c2ccc(F)cc2)c(C)c1,Cc1cc(C)n(->[Ag+]2(<-O=S(=O)(c3ccc(F)cc3)[N-]->2S(=O)(=O)c2ccc(F)cc2)<-n2c(C)cc(C)cc2C)c(C)c1
ABIKOM,,C4 H10 Cl2 Mo1 O2 S2,0.0,CS1CCS(C)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-],CS1CCS(C)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-],CS1CCS(C)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-]
ABOTNI,[I-]->[Ni+2]1(<-[I-])<-N2=C\c3ccccc3OCC/N->1=C/c1ccccc1OCC\2,C18 H18 I2 N2 Ni1 O2,0.0,[I-]->[Ni+2]123(<-[I-])<-N4=Cc5ccccc5O->1CCN->2=Cc1ccccc1O->3CC4,[I-]->[Ni+2]123(<-[I-])<-N4=Cc5ccccc5O->1CCN->2=Cc1ccccc1O->3CC4,[I-]->[Ni+2]123(<-[I-])<-N4=Cc5ccccc5O->1CCN->2=Cc1ccccc1O->3CC4
ACAQOK,O=C(O)CN1CCN(CC(=O)O)CC(=O)[O-]->[Cd@SP1+2](<-O)<-[O-]C(=O)C1,C10 H16 Cd1 N2 O9,0.0,O=C1CN23CCN45CC(=O)[O-]->[Cd+2]<-2<-4(<-O)(<-O=C(O)C3)(<-O=C(O)C5)<-[O-]1,O=C1CN23CCN45CC(=O)[O-]->[Cd+2]<-2<-4(<-O)(<-O=C(O)C3)(<-O=C(O)C5)<-[O-]1,O=C1CN23CCN45CC(=O)[O-]->[Cd+2]<-2<-4(<-O)(<-O=C(O)C3)(<-O=C(O)C5)<-[O-]1
ACIFEA,,C10 H14 N3 O6 Zn1 1+,1.0,O=[N+]([O-])[O-]->[Zn+2]1(<-O)(<-O)(<-O)<-n2ccccc2-c2ccccn->12,O=[N+]([O-])[O-]->[Zn+2]1(<-O)(<-O)(<-O)<-n2ccccc2-c2ccccn->12,O.O.O=[N+]1[O-]->[Zn+2]2(<-O)(<-[O-]1)<-n1ccccc1-c1ccccn->21
ACIZAQ,,C18 H30 Cl1 Ir1 N2 O1 S1,0.0,CN12CCCS3Cc4cccc[c-]4->[IrH+2]<-3<-1(<-[Cl-])<-N1(CCC2)CCOCC1,CN12CCCS3Cc4cccc[c-]4->[IrH+2]<-3<-1(<-[Cl-])<-N1(CCC2)CCOCC1,CN12CCCS3Cc4cccc[c-]4->[IrH+2]<-3<-1(<-[Cl-])<-N1(CCC2)CCOCC1
ACOWAS,CCP(CC)(CC)->[Ni+2]1234(<-O=N->1[O-]->2)(<-O=N->3[O-]->4)<-P(CC)(CC)CC,C12 H30 N2 Ni1 O4 P2,0.0,CCP(CC)(CC)->[Ni-2](<-[N+](=O)=O)(<-[N+](=O)=O)<-P(CC)(CC)CC,CCP(CC)(CC)->[Ni+2](<-N(=O)[O-])(<-N(=O)[O-])<-P(CC)(CC)CC,CCP(CC)(CC)->[Ni+2](<-N(=O)[O-])(<-N(=O)[O-])<-P(CC)(CC)CC
ACUDOT,C/C1c2ccccn2->[Cd+2](<-[Br-])(<-[Br-])<-N=1\NC(=O)c1ccccn1,C13 H12 Br2 Cd1 N4 O1,0.0,CC1c2ccccn2->[Cd+2]2(<-[Br-])(<-[Br-])<-O=C(NN->2=1)c1ccccn1,CC1c2ccccn2->[Cd+2]2(<-[Br-])(<-[Br-])<-O=C(NN->2=1)c1ccccn1,CC1c2ccccn2->[Cd+2]2(<-[Br-])(<-[Br-])<-O=C(NN->2=1)c1ccccn1
ACUJUG,C/C1=C/C(C)=N2/N=C(\[O-]->[V+5]<-23(<-[O-2])(<-[O-]1)<-[O-]c1cccc2cccn->3c12)c1ccccc1N,C21 H19 N4 O4 V1,0.0,CC1=CC(C)=N2N=C([O-]->[V+5]<-23(<-[O-2])(<-[O-]1)<-[O-]c1cccc2cccn->3c12)c1ccccc1N,CC1=CC(C)=N2N=C([O-]->[V+5]<-23(<-[O-2])(<-[O-]1)<-[O-]c1cccc2cccn->3c12)c1ccccc1N,CC1=CC(C)=N2N=C([O-]->[V+5]<-23(<-[O-2])(<-[O-]1)<-[O-]c1cccc2cccn->3c12)c1ccccc1N
ACUTIB,,C42 H35 N4 P1 Ru1,0.0,Cc12->[Ru+2]34567(<-N#C->3C(C#N)=C(C(C#N)=[C-]->4C#N)c3ccccc3)(<-c1(C)c->5(C)[c-]->6(C)c->72C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,Cc12->[Ru+4]34567(<-[N-]=[C-]->3C(C#N)=C(C(C#N)=[C-]->4C#N)c3ccccc3)(<-c1(C)c->5(C)[c-]->6(C)c->72C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,Cc12->[Ru+4]34567(<-[N-]=[C-]->3C(C#N)=C(C(C#N)=[C-]->4C#N)c3ccccc3)(<-c1(C)c->5(C)[c-]->6(C)c->72C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
ADEGEX,Cn1ccn([B@H-]2n3ccn(C)c3=S->[Cu+](<-S=c3ccc(C(C)(C)C)nn32)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)c1=S,C34 H37 B1 Cu1 N6 P1 S3,0.0,fail,Cn1ccn([BH-]2n3ccn(C)c3=S->[Cu+](<-S=c3ccc(C(C)(C)C)nn32)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)c1=S,Cn1ccn([BH-]2n3ccn(C)c3=S->[Cu+](<-S=c3ccc(C(C)(C)C)nn32)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)c1=S
ADEYUD,CC(C)(C)P(=[N-]->[Ta+5]1234(<-[Cl-])(<-[Cl-])(<-[CH2-]c5ccccc5)<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C)(C(C)(C)C)C(C)(C)C,C29 H49 Cl2 N1 P1 Ta1,0.0,CC(C)(C)P(=[N-]->[Ta+5]1234(<-[Cl-])(<-[Cl-])(<-[CH2-]c5ccccc5)<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(=[N-]->[Ta+5]1234(<-[Cl-])(<-[Cl-])(<-[CH2-]c5ccccc5)<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C)(C(C)(C)C)C(C)(C)C,Cc1c(C)c(C)[c-](C)(->[Ta+5](<-[Cl-])(<-[Cl-])(<-[CH2-]c2ccccc2)<-[N-]=P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)c1C
ADIYET,,C12 H38 O12 P4 Ru1,0.0,COP(OC)(OC)->[RuH2](<-P(OC)(OC)OC)(<-P(OC)(OC)OC)<-P(OC)(OC)OC,COP(OC)(OC)->[RuH2](<-P(OC)(OC)OC)(<-P(OC)(OC)OC)<-P(OC)(OC)OC,COP(OC)(OC)->[RuH2](<-P(OC)(OC)OC)(<-P(OC)(OC)OC)<-P(OC)(OC)OC
ADOJUB,OC1C[N-]2/C=C3/C=CC=N3->[Ni@SP3+2]<-23<-N2=CC=C/C2=C/[N-]->3C1,C13 H14 N4 Ni1 O1,0.0,OC1CN2=Cc3ccc[n-]3->[Ni+2]<-23<-N(=Cc2ccc[n-]->32)C1,OC1CN2=Cc3ccc[n-]3->[Ni+2]<-23<-N2=CC=CC2=C[N-]->3C1,OC1CN2=Cc3ccc[n-]3->[Ni+2]<-23<-N2=CC=CC2=C[N-]->3C1
ADURIC,[N-3]->[Os+6]12(<-[Cl-])(<-[S-]c3cccc4cccn->1c34)<-[S-]c1cccc3cccn->2c13,C18 H12 Cl1 N3 Os1 S2,0.0,fail,[N-3]->[Os+6]12(<-[Cl-])(<-[S-]c3cccc4cccn->1c34)<-[S-]c1cccc3cccn->2c13,[N-3]->[Os+6]12(<-[Cl-])(<-[S-]c3cccc4cccn->1c34)<-[S-]c1cccc3cccn->2c13
AFAMOL,Fc1ccc(Cn2c3cccc[n+]3c(-c3ccc(F)cc3)[c-]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2ccccc2)cc1,C25 H19 Cl2 F2 N3 Pd1,0.0,Fc1ccc(C[n+]2c3ccccn3c(-c3ccc(F)cc3)[c]2->[Pd+](<-[Cl-])(<-[Cl-])<-n2ccccc2)cc1,Fc1ccc(C[n+]2c3ccccn3c(-c3ccc(F)cc3)[c-]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2ccccc2)cc1,Fc1ccc(C[n+]2c3ccccn3c(-c3ccc(F)cc3)[c-]2->[Pd+2](<-[Cl-])(<-[Cl-])<-n2ccccc2)cc1
AFIBID,O[C@H]1O[C@H](O)c2ccccn2->[Zn+2](<-[Cl-])(<-[Cl-])<-n2ccccc21,C12 H12 Cl2 N2 O3 Zn1,0.0,OC1c2ccccn2->[Zn+2]2(<-[Cl-])(<-[Cl-])<-n3ccccc3C(O)O->21,OC1c2ccccn2->[Zn+2]2(<-[Cl-])(<-[Cl-])<-n3ccccc3C(O)O->21,OC1OC(O)c2ccccn2->[Zn+2](<-[Cl-])(<-[Cl-])<-n2ccccc21
AFIVUH,CC(C)P(CCN12CCP(C(C)C)(C(C)C)->[Co@TB8+]<-1(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](=O)N(C(C)(C)C)[Si]2(C)C)C(C)C,C25 H51 Co1 N2 O3 P2 Si1,0.0,CC(C)P(CCN12CCP(C(C)C)(C(C)C)->[Co]<-1(<-[C-]#[O+])(<-[C-]#[O+])<-[C](=O)N(C(C)(C)C)[Si]2(C)C)C(C)C,CC(C)P(CCN12CCP(C(C)C)(C(C)C)->[Co+]<-1(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](=O)N(C(C)(C)C)[Si]2(C)C)C(C)C,CC(C)P(CCN12CCP(C(C)C)(C(C)C)->[Co+]<-1(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](=O)N(C(C)(C)C)[Si]2(C)C)C(C)C
AFOYID,C=C(C)C(OC)=O->[Y+3]12345678(<-[Cl-])(<-c9(C)c->1(C)c->2(C)[c-]->3(C)c->49C)<-c1(C)c->5(C)c->6(C)[c-]->7(C)c->81C,C25 H38 Cl1 O2 Y1,0.0,C=C(C)C(OC)=O->[Y+3]12345678(<-[Cl-])(<-c9(C)c->1(C)c->2(C)[c-]->3(C)c->49C)<-c1(C)c->5(C)c->6(C)[c-]->7(C)c->81C,C=C(C)C(OC)=O->[Y+3]12345678(<-[Cl-])(<-c9(C)c->1(C)c->2(C)[c-]->3(C)c->49C)<-c1(C)c->5(C)c->6(C)[c-]->7(C)c->81C,C=C(C)C(OC)=O->[Y+3]123456(<-[Cl-])(<-c7(C)c(C)c(C)[c-]->1(C)c->27C)<-c1(C)c->3(C)c->4(C)[c-]->5(C)c->61C
AFUJIV,,C31 H21 Cl1 Ir1 N3 O1,0.0,Clc1ccc2[O-]->[Ir+3]34(<-[c-]5ccccc5-c5ccccn->35)(<-[c-]3ccccc3-c3ccccn->43)<-n3cccc1c23,Clc1ccc2[O-]->[Ir+3]34(<-[c-]5ccccc5-c5ccccn->35)(<-[c-]3ccccc3-c3ccccn->43)<-n3cccc1c23,Clc1ccc2[O-]->[Ir+3]34(<-[c-]5ccccc5-c5ccccn->35)(<-[c-]3ccccc3-c3ccccn->43)<-n3cccc1c23
AFUZAD,CCN(CC)P(=C->[Nb+5]1234(<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-c5c->1c->2[cH-]->3c->45)(N(CC)CC)N(CC)CC,C18 H37 Cl4 N3 Nb1 P1,0.0,CCN(CC)[P+]([CH2-]->[Nb+5]1234(<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-c5c->1c->2[cH-]->3c->45)(N(CC)CC)N(CC)CC,CCN(CC)P(=C->[Nb+5]1234(<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-c5c->1c->2[cH-]->3c->45)(N(CC)CC)N(CC)CC,CCN(CC)P(=C->[Nb+5]1234(<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-c5c->1c->2[cH-]->3c->45)(N(CC)CC)N(CC)CC
AGAPOO,Cc1cc(C)c(/N2=N/C(/N=N(/c3c(C)cc(C)cc3C)->[Pd@OH7+2]<-23<-O=C(/C=C(\[O-]->3)C(F)(F)F)C(F)(F)F)=[N+]([O-])[O-])c(C)c1,C24 H23 F6 N5 O4 Pd1,0.0,fail,Cc1cc(C)c(N2=NC(=N[N-](c3c(C)cc(C)cc3C)->[Pd+2]<-23<-O=C(C=C([O-]->3)C(F)(F)F)C(F)(F)F)[N+](=O)[O-])c(C)c1,Cc1cc(C)c(N2=NC(=N[N-](c3c(C)cc(C)cc3C)->[Pd+2]<-23<-O=C(C=C([O-]->3)C(F)(F)F)C(F)(F)F)[N+](=O)[O-])c(C)c1
AGEVUD,COCCO(C)->[Zn+2](<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-O(C)CCOC,C10 H20 F6 O10 S2 Zn1,0.0,CO1CCO(C)->[Zn+2]<-12(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-O(C)CCO->2C,CO1CCO(C)->[Zn+2]<-12(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-O(C)CCO->2C,COCCO(C)->[Zn+2]1(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)<-O(C)CCO->1C
AGIQUF,,C11 H14 Br1 N2 O3 P1 Ru1,0.0,CP(C)(C)->[Ru+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-[C](=O)Nc2ccccn->12,CP(C)(C)->[Ru+2]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](=O)Nc2ccccn->12,CP(C)(C)->[Ru+2]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](=O)Nc2ccccn->12
AGOXIE,,C20 H32 Cd1 N9 O3 1+,1.0,Cc1cc(C)n(->[Cd+2]2(<-[O-][N+](=O)[O-]->2)(<-n2[nH]c(C)cc2C)(<-n2[nH]c(C)cc2C)<-n2[nH]c(C)cc2C)[nH]1,Cc1cc(C)n(->[Cd+2](<-[O-][N+](=O)[O-])(<-n2[nH]c(C)cc2C)(<-n2[nH]c(C)cc2C)<-n2[nH]c(C)cc2C)[nH]1,Cc1cc(C)n(->[Cd+2]23(<-[O-][N+]->2(=O)[O-]->3)(<-n2[nH]c(C)cc2C)(<-n2[nH]c(C)cc2C)<-n2[nH]c(C)cc2C)[nH]1
AGUXIK,[Cl-]->[Pd+2](<-[Cl-])(<-C1=c2ccccc2=CC=c2ccccc2=1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C33 H25 Cl2 P1 Pd1,0.0,[Cl-]->[Pd+4](<-[Cl-])(<-[C-2]1c2ccccc2C=Cc2ccccc21)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Cl-]->[Pd+2](<-[Cl-])(<-C1=c2ccccc2=CC=c2ccccc2=1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Cl-]->[Pd+2](<-[Cl-])(<-C1=c2ccccc2=CC=c2ccccc2=1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
AHEBAR,,C21 H23 Cr1 N1 O5,0.0,CC(C)(O)C(N(O)Cc1ccccc1)c12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->41)c->5c->62C,CC(C)([O-])C(N([O-])Cc1ccccc1)c12->[Cr+2]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->41)c->5c->62C,CC(C)=O.Cc12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->4c->51C=[N+]([O-])Cc1ccccc1)c->62
AHIHEE,,C20 H16 N2 Ni1 O6,0.0,O=C1[O-]->[Ni+2]2(<-O)(<-O)(<-[O-]C(=O)c3c4ccccc4ccn->23)<-n2ccc3ccccc3c21,O=C1[O-]->[Ni+2]2(<-O)(<-O)(<-[O-]C(=O)c3c4ccccc4ccn->23)<-n2ccc3ccccc3c21,O.O.O=C1[O-]->[Ni+2]2(<-[O-]C(=O)c3c4ccccc4ccn->23)<-n2ccc3ccccc3c21
