IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABAXOS,,C24 H50 N2 Os1 P2,0.0,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C
ABEJAS,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]34(<-[I-])(<-[CH2-]c->32c1CP->4(c1ccccc1)c1ccccc1)<-[c-]1ccccc1,C41 H38 I1 P2 Rh1,0.0,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1
ABICAQ,Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)[C]2->[Rh+]234(<-[Br-])<-C5=C->2/CC/C->3=C->4\CC\5)c(C)c1,C25 H33 Br1 N3 O1 Rh1,0.0,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+]567(<-[Br-])(<-[C]32)<-C2=C->5CCC->6=C->7CC2)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+]567(<-[Br-])(<-[C]32)<-C2=C->5CCC->6=C->7CC2)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)[C]2->[Rh+]234(<-[Br-])<-C5=C->2CCC->3=C->4CC5)c(C)c1
ABOBOK,CCNC1/N=N2/C=C3/C=CC=C(C)[N-]3->[V+5]<-2(<-[O-2])(<-[O-2])<-S=1,C10 H13 N4 O2 S1 V1,0.0,CCNC1=NN2=Cc3cccc(C)n3->[V+5]<-2(<-[O-2])(<-[O-2])<-[S-]1,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[V+5]<-2(<-[O-2])(<-[O-2])<-S=1,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[V+5]<-2(<-[O-2])(<-[O-2])<-S=1
ACADCO,CC1/C=C(/C)[O-]->[Co+3]234(<-O=1)(<-O=C(C)/C=C(/C)[O-]->2)(<-O=N->3[O-]->4)<-n1cn(C)c2nc[n+](C)c(N)c21,C17 H24 Co1 N6 O6 1+,1.0,fail,CC1=CC(C)=O->[Co+3]2(<-O=C(C)C=C(C)[O-]->2)(<-[O-]1)(<-N(=O)[O-])<-n1cn(C)c2nc[n+](C)c(N)c21,CC1=CC(C)=O->[Co+3]2(<-O=C(C)C=C(C)[O-]->2)(<-[O-]1)(<-N(=O)[O-])<-n1cn(C)c2nc[n+](C)c(N)c21
ACEKAU,CC(C)P1(CCP(C(C)C)(C(C)C)->[Ni]<-12<-N#C->2c1ccccc1)C(C)C,C21 H37 N1 Ni1 P2,0.0,CC(C)P1(CCP(C(C)C)(C(C)C)->[Ni]<-12<-N#C->2c1ccccc1)C(C)C,CC(C)P1(CCP(C(C)C)(C(C)C)->[Ni]<-12<-N#C->2c1ccccc1)C(C)C,CC(C)P1(CCP(C(C)C)(C(C)C)->[Ni]<-12<-N#C->2c1ccccc1)C(C)C
ACIVAL,CC(=O)[O-]->[Ag+]<-P(c1ccccc1C(=O)N(C(C)C)C(C)C)(C(C)(C)C)C(C)(C)C,C23 H39 Ag1 N1 O3 P1,0.0,fail,CC(=O)[O-]->[Ag+]<-P(c1ccccc1C(=O)N(C(C)C)C(C)C)(C(C)(C)C)C(C)(C)C,CC1=O->[Ag+]2(<-O=C(c3ccccc3P->2(C(C)(C)C)C(C)(C)C)N(C(C)C)C(C)C)<-[O-]1
ACOSAP,,C27 H33 Cl1 N2 Pd1,0.0,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-n4c(-c12)cccc4C(C)(C)N->3c1c(C(C)C)cccc1C(C)C,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-n4c(-c12)cccc4C(C)(C)N->3c1c(C(C)C)cccc1C(C)C,Cc1ccc[c-]2->[Pd+2]3(<-[Cl-])<-n4c(-c12)cccc4C(C)(C)N->3c1c(C(C)C)cccc1C(C)C
ACTBPD,CC1/C=C(/C)[O-]->[Pd@@+2]2(<-[CH2-][N+](C)=C([S-]->2)c2ccccc2)<-O=1,C14 H17 N1 O2 Pd1 S1,0.0,CC1=CC(C)=O->[Pd+2]2(<-[CH2-]N(C)C(=S->2)c2ccccc2)<-[O-]1,CC1=CC(C)=O->[Pd]2(<-C=[N+](C)C(=S->2)c2ccccc2)<-[O-]1,CC1=CC(C)=O->[Pd]2(<-C=[N+](C)C(=S->2)c2ccccc2)<-[O-]1
ACUGOV,O=[N+]1[O-]->[La+3]234(<-O)(<-[O-]1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn2)n->41,C18 H14 La1 N9 O10,0.0,O=[N+]1[O-]->[La+3]2345(<-O)(<-[O-]1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn->42)n->51,ON12->[La]345678(<-O)(<-N(O)(O3)O4)(<-N(O)(O5)O6)(O1)(O2)N1CCCCC1C1NC(C2CCCCN2)NC(C2CCCCN27)N18,ON12->[La]345678(<-O)(<-N(O)(O3)O4)(<-N(O)(O5)O6)(O1)(O2)N1CCCCC1C1NC(C2CCCCN2)NC(C2CCCCN27)N18
