IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ABATUS,[O+]#[C-]->[Ru+2]12(<-[C-]#[O+])(<-O=[C-]->1[C@H]1CCC#CCCC1)<-n1c(C(F)(F)F)cc(C(F)(F)F)n1[BH2-]n1c(C(F)(F)F)cc(C(F)(F)F)n->21,C21 H17 B1 F12 N4 O3 Ru1,0.0,O=[C-](C1CCC=CCCC1)->[Ru+2]12(<-[H][BH-]([n+]3c(C(F)(F)F)cc(C(F)(F)F)[n-]->13)[n+]1c(C(F)(F)F)cc(C(F)(F)F)[n-]->21)(<-[C-]#[O+])<-[C-]#[O+],O=[C-](C1CCC#CCCC1)->[Ru+2]1(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(C(F)(F)F)cc(C(F)(F)F)n2[BH2-]n2c(C(F)(F)F)cc(C(F)(F)F)n->12,O=[C-](C1CCC#CCCC1)->[Ru+2]1(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(C(F)(F)F)cc(C(F)(F)F)n2[BH2-]n2c(C(F)(F)F)cc(C(F)(F)F)n->12
ABEGOD,C/C1=N2\CCCN3CCC/N4=C(\C)C(C)(C)[S@]5(=O)[O-]->[Co+3]<-2<-4<-3<-5<-[S-]C1(C)C,C16 H31 Co1 N3 O2 S2 1+,1.0,CC1=N2CCCN3CCCN4=C(C)C(C)(C)[SH](=O)(=O)->[Co+2]<-2<-4<-3<-[S-]C1(C)C,CC1=N2CCCN3CCCN4=C(C)C(C)(C)S(=O)(#[O+])->[Co+]<-2<-4<-3<-[S-]C1(C)C,CC1=N2CCCN3CCCN4=C(C)C(C)(C)S5(#[O+])=O->[Co+]<-2<-4<-3<-5<-[S-]C1(C)C
ABICAP,,C32 H38 O1 P1 Rh1,0.0,CC(C)P(C(C)C)(C(C)C)->[Rh+]1234(<-[C-]#[O+])<-c5c->1[c-]->21ccccc->31c->45C(c1ccccc1)c1ccccc1,CC(C)P(C(C)C)(C(C)C)->[Rh+]1234(<-[C-]#[O+])<-c5[cH-]->1c->21ccccc->31c->45C(c1ccccc1)c1ccccc1,CC(C)P(C(C)C)(C(C)C)->[Rh+]1234(<-[C-]#[O+])<-c5[cH-]->1c->21ccccc->31c->45C(c1ccccc1)c1ccccc1
ABOBIE,CCNC1/N=N2/C=C3/C=CC=C(C)[N-]3->[Pt@TB6+2]<-2(<-[Cl-])<-S=1,C10 H13 Cl1 N4 Pt1 S1,0.0,CCNC1=NN2=Cc3cccc(C)n3->[Pt+2]<-2(<-[Cl-])<-[S-]1,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[Pt+2]<-2(<-[Cl-])<-S=1,CCNC1N=N2C=C3C=CC=C(C)[N-]3->[Pt+2]<-2(<-[Cl-])<-S=1
ABUTOH,CC1(C)C2->[Zr+2]3456789(<-[C-]#[O+])(<-C(=C->3[CH-]->41)C->5=2)(<-c1c->6c->7[cH-]->8c->91)<-P(C)(C)C,C17 H25 O1 P1 Zr1,0.0,fail,CC1(C)C2->[Zr+2]3456789(<-[C-]#[O+])(<-C(=C->3[CH-]->41)C->5=2)(<-c1c->6c->7[cH-]->8c->91)<-P(C)(C)C,CC1(C)C2->[Zr+2]3456789(<-[C-]#[O+])(<-C(=C->3[CH-]->41)C->5=2)(<-c1c->6c->7[cH-]->8c->91)<-P(C)(C)C
ACEGAT,C(#[C-]->[Au+]<-n1c(-c2ccccc2)cc2n3ccccc3c3ccccc3c1-2)c1ccc(/N=N/c2ccccc2)cc1,C35 H23 Au1 N4,0.0,C(#[C-]->[Au+]<-n1c(-c2ccccc2)cc2n3ccccc3c3ccccc3c1-2)c1ccc(N=Nc2ccccc2)cc1,[C]([C-3]->[Au+3]<-n1c(-c2ccccc2)cc2n3ccccc3c3ccccc3c1-2)c1ccc(N=Nc2ccccc2)cc1,[C]([C-3]->[Au+3]<-n1c(-c2ccccc2)cc2n3ccccc3c3ccccc3c1-2)c1ccc(N=Nc2ccccc2)cc1
ACITEO,Nn1c(-c2cccnc2)nnc1-c1cccn(->[Cd+2](<-n2cccc(-c3nnc(-c4cccnc4)n3N)c2)(<-[n-]2c(=S)[nH]c(=S)[nH]c2=S)<-[n-]2c(=S)[nH]c(=S)[nH]c2=S)c1,C30 H24 Cd1 N18 S6,0.0,Nn1c(-c2cccnc2)nnc1-c1cccn(->[Cd+2]23(<-[S-]c4[nH]c(=S)[nH]c(=S)n->24)(<-[S-]c2[nH]c(=S)[nH]c(=S)n->32)<-n2cccc(-c3nnc(-c4cccnc4)n3N)c2)c1,Nn1c(-c2cccnc2)nnc1-c1cccn(->[Cd+2]23(<-S=c4[nH]c(=S)[nH]c(=S)[n-]->24)(<-S=c2[nH]c(=S)[nH]c(=S)[n-]->32)<-n2cccc(-c3nnc(-c4cccnc4)n3N)c2)c1,Nn1c(-c2cccnc2)nnc1-c1cccn(->[Cd+2]23(<-S=c4[nH]c(=S)[nH]c(=S)[n-]->24)(<-S=c2[nH]c(=S)[nH]c(=S)[n-]->32)<-n2cccc(-c3nnc(-c4cccnc4)n3N)c2)c1
ACORAM,COc1ccccc1N1CCN(CCCC[N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c3n(C)ccn3[BH2-]n3ccn(C)c3=S->2)CC1,C27 H35 B1 N7 O4 Re1 S2,0.0,COc1ccccc1N1CCN(CCCC[N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c3n(C)ccn3[BH2-]n3ccn(C)c3=S->2)CC1,COc1ccccc1N1CCN(CCCC[N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c3n(C)ccn3[BH2-]n3ccn(C)c3=S->2)CC1,COc1ccccc1N1CCN(CCCC[N+]#[C-]->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c3n(C)ccn3[BH2-]n3ccn(C)c3=S->2)CC1
ACPIRE,C[C](Nc1ccccc1)->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](C)=O,C14 H12 N1 O5 Re1,0.0,C[C](Nc1ccccc1)->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](C)=O,C[C](Nc1ccccc1)->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](C)=O,C[C](Nc1ccccc1)->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](C)=O
ACUGIP,CO->[La+3]12(<-[O-][N+](=O)[O-])(<-[O-][N+](=O)[O-]->1)(<-[O-][N+](=O)[O-]->2)(<-OC)<-n1c(-c2ccccn2)nc(-c2ccccn2)nc1-c1ccccn1,C20 H20 La1 N9 O11,0.0,CO->[La+3]12345(<-[O-][N+](=O)[O-]->1)(<-[O-][N+](=O)[O-]->2)(<-[O-][N+](=O)[O-]->3)(<-OC)<-n1ccccc1-c1nc(-c2ccccn2)nc(-c2ccccn->42)n->51,CO->[La]12345678(<-OC)(<-N(O)(O1)O2)(<-N(O)(O3)O4)(<-N(O)(O5)O6)N1CCCCC1C1NC(C2CCCCN2)NC(C2CCCCN27)N18,CO.CO->[La]12345678(<-N(O)(O1)O2)(<-N(O)(O3)O4)(<-N(O)(O5)O6)N1CCCCC1C1NC(C2CCCCN2)NC(C2CCCCN27)N18
